Price,Adj Close,Close,High,Low,Open,Volume
Ticker,NQ=F,NQ=F,NQ=F,NQ=F,NQ=F,NQ=F
Datetime,,,,,,
2024-12-26 17:00:00+00:00,22040.5,22040.5,22044.5,22032.5,22039.75,2604
2024-12-26 17:05:00+00:00,22039.5,22039.5,22047.0,22037.25,22040.0,2225
2024-12-26 17:10:00+00:00,22055.0,22055.0,22057.25,22038.0,22040.5,3249
2024-12-26 17:15:00+00:00,22065.5,22065.5,22076.25,22054.0,22055.25,5111
2024-12-26 17:20:00+00:00,22054.75,22054.75,22065.25,22048.0,22064.75,3059
2024-12-26 17:25:00+00:00,22026.25,22026.25,22056.5,22024.25,22053.75,4220
2024-12-26 17:30:00+00:00,22051.5,22051.5,22052.0,22023.5,22027.25,4012
2024-12-26 17:35:00+00:00,22030.25,22030.25,22053.0,22023.5,22051.0,3563
2024-12-26 17:40:00+00:00,22029.0,22029.0,22035.25,22023.25,22030.5,2645
2024-12-26 17:45:00+00:00,22001.25,22001.25,22033.25,21972.75,22031.0,7800
2024-12-26 17:50:00+00:00,22012.25,22012.25,22014.75,21979.25,21999.5,4932
2024-12-26 17:55:00+00:00,22007.0,22007.0,22026.0,21991.25,22015.0,3771
2024-12-26 18:00:00+00:00,22017.0,22017.0,22024.5,22002.5,22006.75,3381
2024-12-26 18:05:00+00:00,22029.0,22029.0,22033.0,22005.75,22018.0,3548
2024-12-26 18:10:00+00:00,22010.0,22010.0,22033.5,22005.25,22030.0,2827
2024-12-26 18:15:00+00:00,22038.25,22038.25,22040.0,22006.5,22009.5,3505
2024-12-26 18:20:00+00:00,22030.0,22030.0,22040.0,22017.25,22036.5,2746
2024-12-26 18:25:00+00:00,22035.75,22035.75,22040.5,22029.5,22030.0,2675
2024-12-26 18:30:00+00:00,22011.75,22011.75,22041.0,22008.5,22036.0,3493
2024-12-26 18:35:00+00:00,22022.25,22022.25,22033.25,22009.75,22011.0,3759
2024-12-26 18:40:00+00:00,22006.75,22006.75,22028.25,21994.75,22021.0,3735
2024-12-26 18:45:00+00:00,22026.0,22026.0,22033.75,22005.5,22007.25,3262
2024-12-26 18:50:00+00:00,22027.25,22027.25,22030.5,22012.75,22025.75,1842
2024-12-26 18:55:00+00:00,22017.0,22017.0,22032.5,22006.5,22027.75,2358
2024-12-26 19:00:00+00:00,22008.5,22008.5,22016.75,22001.5,22015.75,2014
2024-12-26 19:05:00+00:00,22005.25,22005.25,22011.25,21994.25,22008.75,2616
2024-12-26 19:10:00+00:00,22004.0,22004.0,22022.75,22000.5,22004.5,2534
2024-12-26 19:15:00+00:00,21999.0,21999.0,22010.0,21996.5,22004.5,1930
2024-12-26 19:20:00+00:00,22008.25,22008.25,22011.25,21998.5,21998.5,1464
2024-12-26 19:25:00+00:00,22007.25,22007.25,22015.5,22003.0,22008.0,2168
2024-12-26 19:30:00+00:00,22005.0,22005.0,22020.0,22003.5,22008.5,2679
2024-12-26 19:35:00+00:00,22018.25,22018.25,22019.0,22002.25,22004.75,2009
2024-12-26 19:40:00+00:00,22030.5,22030.5,22037.25,22017.0,22018.5,3248
2024-12-26 19:45:00+00:00,22031.75,22031.75,22043.75,22030.5,22031.75,3088
2024-12-26 19:50:00+00:00,22040.0,22040.0,22042.5,22030.75,22031.5,1914
2024-12-26 19:55:00+00:00,22044.25,22044.25,22047.25,22036.25,22039.75,1707
2024-12-26 20:00:00+00:00,22049.25,22049.25,22050.75,22039.5,22043.0,2437
2024-12-26 20:05:00+00:00,22052.25,22052.25,22057.75,22046.75,22048.0,2935
2024-12-26 20:10:00+00:00,22030.0,22030.0,22053.25,22028.5,22053.25,2767
2024-12-26 20:15:00+00:00,22045.25,22045.25,22046.0,22029.5,22030.5,2278
2024-12-26 20:20:00+00:00,22047.25,22047.25,22049.25,22039.5,22045.25,1660
2024-12-26 20:25:00+00:00,22047.75,22047.75,22053.5,22045.25,22045.75,1546
2024-12-26 20:30:00+00:00,22050.5,22050.5,22054.5,22041.75,22047.25,2416
2024-12-26 20:35:00+00:00,22044.25,22044.25,22052.75,22041.75,22050.5,1846
2024-12-26 20:40:00+00:00,22046.5,22046.5,22054.25,22039.5,22044.25,2206
2024-12-26 20:45:00+00:00,22045.0,22045.0,22061.25,22037.5,22048.25,2891
2024-12-26 20:50:00+00:00,22035.75,22035.75,22049.5,22030.0,22045.25,4762
2024-12-26 20:55:00+00:00,22007.0,22007.0,22038.0,22001.25,22036.0,10302
2024-12-26 21:00:00+00:00,21994.5,21994.5,22021.75,21984.75,22009.0,5417
2024-12-26 21:05:00+00:00,21995.25,21995.25,22006.75,21980.0,21992.5,2580
2024-12-26 21:10:00+00:00,21997.75,21997.75,22004.75,21995.0,21997.5,883
2024-12-26 21:15:00+00:00,21989.75,21989.75,21997.0,21981.0,21997.0,1581
2024-12-26 21:20:00+00:00,21991.75,21991.75,21996.75,21982.5,21989.5,661
2024-12-26 21:25:00+00:00,21996.0,21996.0,22001.25,21991.0,21991.0,362
2024-12-26 21:30:00+00:00,21993.5,21993.5,21996.75,21987.75,21996.25,296
2024-12-26 21:35:00+00:00,21992.0,21992.0,21997.0,21989.5,21993.0,212
2024-12-26 21:40:00+00:00,21990.75,21990.75,21996.75,21988.75,21991.25,229
2024-12-26 21:45:00+00:00,21989.75,21989.75,21994.0,21985.25,21991.25,368
2024-12-26 21:50:00+00:00,21985.75,21985.75,21989.25,21982.75,21988.5,426
2024-12-26 21:55:00+00:00,21984.25,21984.25,21986.0,21981.5,21984.5,325
2024-12-26 23:00:00+00:00,21992.5,21992.5,22003.25,21982.0,21999.25,0
2024-12-26 23:05:00+00:00,21986.75,21986.75,21997.75,21980.5,21996.75,303
2024-12-26 23:10:00+00:00,21981.0,21981.0,21990.0,21974.75,21988.5,377
2024-12-26 23:15:00+00:00,21988.5,21988.5,21989.5,21977.0,21979.75,149
2024-12-26 23:20:00+00:00,21996.0,21996.0,21997.0,21984.25,21987.5,217
